id,kod,ad,tip
9006,LIDFA,Lider Faktoring A.Ş.,Hisse
329,LINK,Link Bilgisayar Sistemleri Yazılımı ve Donanımı Sa,Hisse
2484,LKMNH,Lokman Hekim Engürüsağ Sağlık Turizm Eğitim Hizmet,Hisse
331,LOGO,Logo Yazılım Sanayi Ve Ticaret A.Ş.,Hisse
333,LUKSK,Lüks Kadife Ticaret Ve Sanayii A.Ş.,Hisse
334,MAALT,Marmaris Altınyunus Turistik Tesisler A.Ş.,Hisse
77516,MAGEN,MARGÜN ENERJİ,Hisse
82941,MAKIM,MAKİM MAKİNA,Hisse
335,MAKTK,Makina Takım Endüstrisi A.Ş.,Hisse
75683,MANAS,MANAS ENERJİ,Hisse
1118,MARKA,Marka Yatırım Holding Anonim Şirketi,Hisse
350,MARTI,Martı Otel İşletmeleri A.Ş.,Hisse
9555,MAVI,Mavi Giyim Sanayi Ve Ticaret A.Ş.,Hisse
75679,MEDTR,MEDİTERA TIBBİ MALZEME,Hisse
3832,MEGAP,Mega Polietilen Köpük Sanayi ve Ticaret A.Ş.,Hisse
338,MEMSA,Mensa Sınai Ticari Mali Yatırımlar A.Ş.,Hisse
2822,MEPET,Mepet Metro Petrol ve Tesisleri Sanayi ve Ticaret ,Hisse
74865,MERCN,MERCAN KİMYA,Hisse
3978,MERIT,Merit Turizm Yatırım ve İşletme A.Ş.,Hisse
339,MERKO,Merko Gıda Sanayi Ve Ticaret A.Ş.,Hisse
575,METRO,Metro Ticari ve Mali Yatırımlar Holding A. Ş.,Hisse
341,METUR,Metemtur Otelcilik Ve Turizm İşletmeleri A.Ş.,Hisse
346,MGROS,Migros T.A.Ş.,Hisse
77743,MIATK,MİA TEKNOLOJİ,Hisse
349,MIPAZ,Milpa Ticari Ve Sınai Ürünler Paz.San. Ve Tic.A.Ş.,Hisse
3083,MMCAS,MMC Sanayi Ve Ticari Yatırımlar A.Ş.,Hisse
351,MNDRS,Menderes Tekstil Sanayi Ve Ticaret A.Ş.,Hisse
87016,MNDTR,MONDI TURKEY,Hisse
77744,MOBTL,MOBİLTEL İLETİŞİM,Hisse
2990,MPARK,MLP Sağlık Hizmetleri A.Ş.,Hisse
2297,MRGYO,Martı Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
354,MRSHL,Marshall Boya Ve Vernik Sanayii A.Ş.,Hisse
9538,MSGYO,Mistral Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
73922,MTRKS,MATRİKS VERİ DAĞITIM,Hisse
73920,MTRKSHE,MATRİKS VERİ DAĞITIM,Hisse
57031,MTRYO,METRO YATIRIM A.Ş.,Hisse
363,MZHLD,Mazhar Zorlu Holding A.Ş.,Hisse
66055,NATEN,NATUREL ENERJİ TİC. A.Ş.,Hisse
379,NETAS,Nortel Networks Netaş Telekomünikasyon A.Ş.,Hisse
3628,NIBAS,Niğbaş Niğde Beton Sanayi ve Ticaret A.Ş.,Hisse
73924,NTGAZ,NATURELGAZ,Hisse
386,NTHOL,Net Holding A.Ş.,Hisse
388,NUGYO,Nurol Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
389,NUHCM,Nuh Çimento Sanayi A.Ş.,Hisse
83908,OBASE,OBASE BİLGİSAYAR,Hisse
6863,ODAS,Odaş Elektrik Üretim San. ve Tic. A.Ş.,Hisse
75677,OLMK,MONDİ OLMUKSAN KAĞIT VE AMBALAJ SANAYİ A.Ş,Hisse
87994,ONCSM,ONCOSEM ONKOLOJİK SİSTEMLER,Hisse
76385,ORCAY,ORTAKÖY ÇAY,Hisse
3828,ORGE,Orge Enerji Elektrik Taahhüt A.Ş.,Hisse
4248,ORMA,Orma Orman Mahsülleri İntegre Sanayi ve Ticaret A.,Hisse
3624,OSMEN,Osmanlı Yatırım Menkul Değerler A.Ş.,Hisse
3822,OSTIM,Ostim Endüstriyel Yatırımlar Ve İşletme A.Ş.,Hisse
398,OTKAR,Otokar Otomotiv ve Savunma Sanayi A.Ş.,Hisse
78910,OTTO,OTTO HOLDING,Hisse
70518,OYAKC,OYAK ÇİMENTO,Hisse
1542,OYAYO,Oyak Yatırım Ortaklığı A.Ş.,Hisse
3815,OYLUM,Oylum Sınai Yatırımlar A.Ş.,Hisse
75351,OYYAT,OYAK YATIRIM MENKUL DEĞ. A.Ş.,Hisse
400,OZGYO,Özderici Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
3613,OZKGY,Özak Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
9101,OZRDN,Özerden Plastik Sanayi Ve Ticaret Anonim Şirketi,Hisse
87315,OZSUB,ÖZSU BALIK ÜRETİM,Hisse
6952,PAGYO,Panora Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
72294,PAMEL,PAMUKOVA YENİLENEBİLİR ELEKTRİK ÜRETİM A.Ş,Hisse
69040,PAPIL,PAPİLON SAVUNMA,Hisse
430,PARSN,Parsan Makina Parçaları Sanayii A.Ş.,Hisse
78006,PCILT,PC İletişim ve Medya Hizmetleri,Hisse
224,PEGYO,Pera Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
2991,PEKGY,Peker Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
433,PENGD,Penguen Gıda Sanayi A.Ş.,Hisse
74864,PENTA,PENTA TEKNOLOJİ ÜRÜNLERİ,Hisse
435,PETKM,Petkim Petrokimya Holding A.Ş.,Hisse
436,PETUN,Pınar Entegre Et Ve Un Sanayii A.Ş.,Hisse
6507,PGSUS,Pegasus Hava Taşımacılığı A.Ş.,Hisse
438,PINSU,Pınar Su Sanayi Ve Ticaret A.Ş.,Hisse
960,PKART,Plastikkart Akıllı Kart İletişim Sistemleri Sanayi,Hisse
439,PKENT,Petrokent Turizm A.Ş.,Hisse
87370,PLTUR,PALTFORM TURİZM,Hisse
79538,PNLSN,PANELSAN,Hisse
444,PNSUT,Pınar Süt Mamülleri Sanayii A.Ş.,Hisse
3841,POLHO,Polisan Holding A.Ş.,Hisse
8273,POLTK,Politeknik Metal Sanayi ve Ticaret A.Ş.,Hisse
82940,PRDGS,PARDUS GIRISIM,Hisse
448,PRKAB,Türk Prysmian Kablo ve Sistemleri A.Ş.,Hisse
